Species,Carapace_mm,Jar_number,Initial_weight_g,Final_weight_g
Cyclodius,17,25,3.39,1.74
Cyclodius,13,38,3.33,1.46
Cyclodius,14,8,3.27,1.71
Cyclodius,20,88,3.62,2.57
Cyclodius,18,29,2.37,0.91
Cyclodius,16,49,3.16,2.23
Cyclodius,18,11,3.08,1.13
Control,NA,39,3.36,2.53
Control,NA,19,3.21,2.44
Cyclodius,19,91,3.25,2.03
Control,NA,24,3.48,2.61
Control,NA,47,3.66,2.4
Cyclodius,15,16,3.2,1.32
Cyclodius,18,2,3.32,0.88
Cyclodius,24,33,3.5,1.2
Cyclodius,14,41,3.1,1.62
Cyclodius,12,92,3.23,2.59
Cyclodius,27,34,3.06,1.24
Cyclodius,24,14,3.28,1.43
Cyclodius,28,43,3.28,0.99
Cyclodius,16,93,3.46,1.49
Control,NA,9,3.15,2.54
Control,NA,46,3.09,2.59
Control,NA,94,3.21,2.39
Control,NA,21,3.04,2.47