Colony_ID,NW_algae_initial_weight,W_algae_intial_weight,NW_final_weight,W_final_weight
198,8.308,6.497,4.446,1.535
160,7.789,8.811,2.935,7.023
161,7.812,7.805,2.864,6.229
199,9.101,8.514,9.147,1.829
164,8.288,8.46,3.162,5.135
162,8.165,8.938,1.99,0
163,6.871,9.627,3.437,4.752
165,6.231,9.438,0,1.799
167,9.831,7.978,8.034,1.794
166,6.929,7.758,6.356,0.89
169,6.858,7.427,3.337,5.435
168,8.107,7.811,3.027,4.253
121,8.484,8.443,11.402,4.856
118,7.49,7.699,8.206,4.094
195,6.032,8.18,3.95,0
122,6.127,7.233,1.119,0
197,7.031,7.81,0,0
240,7.087,7.777,7.874,3.868
241,7.756,7.201,7.384,5.748
242,7.121,7.235,1.586,1.185