Coral_ID,Treatment,Crab_treatment,Algae_treatment,Wounding_treatment,Tank_ID,Crab_size_mm_initial,HOBO_ID,Initial_algal_biomass_g
1,NNW,N,N,Y,1,NA,10550960,NA
2,NAW,N,Y,Y,1,NA,NA,5.11
3,CNN,Y,N,N,1,14,NA,NA
4,CAN,Y,Y,N,1,16,NA,5.03
5,NAN,N,Y,N,2,NA,NA,6.1
6,NNN,N,N,N,2,NA,NA,NA
7,CAW,Y,Y,Y,2,19,NA,7.93
8,CNW,Y,N,Y,2,9,10568876,NA
9,NAW,N,Y,Y,3,NA,NA,6.8
10,NNW,N,N,Y,3,NA,NA,NA
11,CAW,Y,Y,Y,3,11,NA,7.71
12,CNN,Y,N,N,3,14,NA,NA
13,NNN,N,N,N,4,NA,NA,NA
14,CAN,Y,Y,N,4,13,10551954,7.98
15,CNW,Y,N,Y,4,14,NA,NA
16,NAN,N,Y,N,4,NA,NA,7.92
17,NNN,N,N,N,5,NA,10551953,NA
18,NNW,N,N,Y,5,NA,NA,NA
19,NAW,N,Y,Y,5,NA,NA,7.63
20,NAN,N,Y,N,5,NA,NA,7.57
21,CAN,Y,Y,N,6,19,NA,8.16
22,CNN,Y,N,N,6,21,NA,NA
23,CNW,Y,N,Y,6,22,NA,NA
24,CAW,Y,Y,Y,6,23,NA,6.51
25,NAN,N,Y,N,7,NA,NA,6.45
26,CNW,Y,N,Y,7,20,NA,NA
27,NNN,N,N,N,7,NA,NA,NA
28,CAW,Y,Y,Y,7,15,10551961,7.7
29,NNW,N,N,Y,8,NA,NA,NA
30,NAW,N,Y,Y,8,NA,NA,8.32
31,CNN,Y,N,N,8,22,NA,NA
32,CAN,Y,Y,N,8,22,NA,8.96
33,NAW,N,Y,Y,9,NA,NA,8.1
34,CNN,Y,N,N,9,19,NA,NA
35,CAW,Y,Y,Y,9,19,NA,6.77
36,CNW,Y,N,Y,9,19,10550958,NA
37,CAN,Y,Y,N,10,22,NA,6.9
38,NNN,N,N,N,10,NA,NA,NA
39,NAN,N,Y,N,10,NA,NA,6.01
40,NNW,N,N,Y,10,NA,NA,NA
41,NAN,N,Y,N,11,NA,10551956,6.21
42,NAW,N,Y,Y,11,NA,NA,6.62
43,NNW,N,N,Y,11,NA,NA,NA
44,CNW,Y,N,Y,11,12,NA,NA
45,NNN,N,N,N,12,NA,NA,NA
46,CAN,Y,Y,N,12,21,NA,6.57
47,CNN,Y,N,N,12,16,NA,NA
48,CAW,Y,Y,Y,12,11,NA,6.05
49,NNN,N,N,N,13,NA,NA,NA
50,CNW,Y,N,Y,13,18,10550960,NA
51,CAW,Y,Y,Y,13,23,NA,7.27
52,NAW,N,Y,Y,13,NA,NA,7.84
53,CNN,Y,N,N,14,21,NA,NA
54,CAN,Y,Y,N,14,19,NA,8.72
55,NNW,N,N,Y,14,NA,NA,NA
56,NAN,N,Y,N,14,NA,10550963,7.2
57,CAN,Y,Y,N,15,23,NA,6.77
58,CAW,Y,Y,Y,15,15,NA,7.95
59,NNN,N,N,N,15,NA,NA,NA
60,CNW,Y,N,Y,15,22,NA,NA
61,NAW,N,Y,Y,16,NA,NA,8.12
62,NNW,N,N,Y,16,NA,10550962,NA
63,NAN,N,Y,N,16,NA,NA,8.22
64,CNN,Y,N,N,16,18,NA,NA
65,CNW,Y,N,Y,17,23,NA,NA
66,CAW,Y,Y,Y,17,25,NA,6.42
67,NNW,N,N,Y,17,NA,NA,NA
68,NAW,N,Y,Y,17,NA,NA,8.12
69,NNN,N,N,N,18,NA,NA,NA
70,CNN,Y,N,N,18,21,NA,NA
71,NAN,N,Y,N,18,NA,10550956,6.22
72,CAN,Y,Y,N,18,23,NA,7.78
73,NNW,N,N,Y,19,NA,10550969,NA
74,NAW,N,Y,Y,19,NA,NA,7.72
75,NNN,N,N,N,19,NA,NA,NA
76,CAW,Y,Y,Y,19,21,NA,7.72
77,NAN,N,Y,N,20,NA,NA,6.67
78,CNN,Y,N,N,20,24,10551958,NA
79,CNW,Y,N,Y,20,20,NA,NA
80,CAN,Y,Y,N,20,25,NA,8.4