Coral_ID,Death_day,Treatment,Crab_treatment,Algae_treatment,Wounding_treatment,Tank_ID,Crab_size_mm_initial,HOBO_ID,Initial_algal_biomass_g,Delta_time,Censored
1,2020-02-05,NNW,N,N,Y,1,NA,10550960,NA,5,1
2,2020-02-05,NAW,N,Y,Y,1,NA,NA,5.11,5,1
3,2020-02-22,CNN,Y,N,N,1,14,NA,NA,22,1
4,2020-02-11,CAN,Y,Y,N,1,16,NA,5.03,11,1
5,2020-02-05,NAN,N,Y,N,2,NA,NA,6.1,5,1
6,2020-02-05,NNN,N,N,N,2,NA,NA,NA,5,1
9,2020-02-09,NAW,N,Y,Y,3,NA,NA,6.8,9,1
14,2020-02-11,CAN,Y,Y,N,4,13,10551954,7.98,11,1
16,2020-02-04,NAN,N,Y,N,4,NA,NA,7.92,4,1
17,2020-02-06,NNN,N,N,N,5,NA,10551953,NA,6,1
18,2020-02-06,NNW,N,N,Y,5,NA,NA,NA,6,1
19,2020-02-05,NAW,N,Y,Y,5,NA,NA,7.63,5,1
20,2020-02-05,NAN,N,Y,N,5,NA,NA,7.57,5,1
25,2020-02-09,NAN,N,Y,N,7,NA,NA,6.45,9,1
30,2020-02-09,NAW,N,Y,Y,8,NA,NA,8.32,9,1
32,2020-02-15,CAN,Y,Y,N,8,22,NA,8.96,15,1
33,2020-02-09,NAW,N,Y,Y,9,NA,NA,8.1,9,1
35,2020-02-06,CAW,Y,Y,Y,9,19,NA,6.77,6,1
37,2020-02-08,CAN,Y,Y,N,10,22,NA,6.9,8,1
38,2020-02-10,NNN,N,N,N,10,NA,NA,NA,10,1
39,2020-02-15,NAN,N,Y,N,10,NA,NA,6.01,15,1
41,2020-02-06,NAN,N,Y,N,11,NA,10551956,6.21,6,1
42,2020-02-06,NAW,N,Y,Y,11,NA,NA,6.62,6,1
43,2020-02-07,NNW,N,N,Y,11,NA,NA,NA,7,1
45,2020-02-20,NNN,N,N,N,12,NA,NA,NA,20,1
46,2020-02-21,CAN,Y,Y,N,12,21,NA,6.57,21,1
52,2020-02-07,NAW,N,Y,Y,13,NA,NA,7.84,7,1
54,2020-02-06,CAN,Y,Y,N,14,19,NA,8.72,6,1
55,2020-02-06,NNW,N,N,Y,14,NA,NA,NA,6,1
56,2020-02-06,NAN,N,Y,N,14,NA,10550963,7.2,6,1
57,2020-02-07,CAN,Y,Y,N,15,23,NA,6.77,7,1
59,2020-02-22,NNN,N,N,N,15,NA,NA,NA,22,1
61,2020-02-05,NAW,N,Y,Y,16,NA,NA,8.12,5,1
63,2020-02-06,NAN,N,Y,N,16,NA,NA,8.22,6,1
66,2020-02-24,CAW,Y,Y,Y,17,25,NA,6.42,24,1
67,2020-02-09,NNW,N,N,Y,17,NA,NA,NA,9,1
68,2020-02-12,NAW,N,Y,Y,17,NA,NA,8.12,12,1
71,2020-02-10,NAN,N,Y,N,18,NA,10550956,6.22,10,1
72,2020-02-10,CAN,Y,Y,N,18,23,NA,7.78,10,1
74,2020-02-07,NAW,N,Y,Y,19,NA,NA,7.72,7,1
76,2020-02-12,CAW,Y,Y,Y,19,21,NA,7.72,12,1
77,2020-02-05,NAN,N,Y,N,20,NA,NA,6.67,5,1
78,2020-02-09,CNN,Y,N,N,20,24,10551958,NA,9,1
79,2020-02-12,CNW,Y,N,Y,20,20,NA,NA,12,1
80,2020-02-06,CAN,Y,Y,N,20,25,NA,8.4,6,1
7,2020-02-14,CAW,Y,Y,Y,2,19,NA,7.93,14,0
8,2020-02-25,CNW,Y,N,Y,2,9,10568876,NA,25,0
10,2020-02-25,NNW,N,N,Y,3,NA,NA,NA,25,0
11,2020-02-25,CAW,Y,Y,Y,3,11,NA,7.71,25,0
12,2020-02-25,CNN,Y,N,N,3,14,NA,NA,25,0
13,2020-02-25,NNN,N,N,N,4,NA,NA,NA,25,0
15,2020-02-25,CNW,Y,N,Y,4,14,NA,NA,25,0
21,2020-02-25,CAN,Y,Y,N,6,19,NA,8.16,25,0
22,2020-02-25,CNN,Y,N,N,6,21,NA,NA,25,0
23,2020-02-25,CNW,Y,N,Y,6,22,NA,NA,25,0
24,2020-02-25,CAW,Y,Y,Y,6,23,NA,6.51,25,0
26,2020-02-25,CNW,Y,N,Y,7,20,NA,NA,25,0
27,2020-02-25,NNN,N,N,N,7,NA,NA,NA,25,0
28,2020-02-25,CAW,Y,Y,Y,7,15,10551961,7.7,25,0
29,2020-02-16,NNW,N,N,Y,8,NA,NA,NA,16,0
31,2020-02-25,CNN,Y,N,N,8,22,NA,NA,25,0
34,2020-02-25,CNN,Y,N,N,9,19,NA,NA,25,0
36,2020-02-25,CNW,Y,N,Y,9,19,10550958,NA,25,0
40,2020-02-25,NNW,N,N,Y,10,NA,NA,NA,25,0
44,2020-02-25,CNW,Y,N,Y,11,12,NA,NA,25,0
47,2020-02-25,CNN,Y,N,N,12,16,NA,NA,25,0
48,2020-02-25,CAW,Y,Y,Y,12,11,NA,6.05,25,0
49,2020-02-25,NNN,N,N,N,13,NA,NA,NA,25,0
50,2020-02-25,CNW,Y,N,Y,13,18,10550960,NA,25,0
51,2020-02-25,CAW,Y,Y,Y,13,23,NA,7.27,25,0
53,2020-02-25,CNN,Y,N,N,14,21,NA,NA,25,0
58,2020-02-25,CAW,Y,Y,Y,15,15,NA,7.95,25,0
60,2020-02-25,CNW,Y,N,Y,15,22,NA,NA,25,0
62,2020-02-25,NNW,N,N,Y,16,NA,10550962,NA,25,0
64,2020-02-25,CNN,Y,N,N,16,18,NA,NA,25,0
65,2020-02-25,CNW,Y,N,Y,17,23,NA,NA,25,0
69,2020-02-25,NNN,N,N,N,18,NA,NA,NA,25,0
70,2020-02-25,CNN,Y,N,N,18,21,NA,NA,25,0
73,2020-02-25,NNW,N,N,Y,19,NA,10550969,NA,25,0
75,2020-02-25,NNN,N,N,N,19,NA,NA,NA,25,0
